Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Birkenfeld,DEB15,-0.029187939990772453,-0.03782011330030391,-0.017707289701488525,-0.007398576241190856,111,0.622,0.376,0.157,0.037,1
"DE: Magdeburg, Kreisfreie Stadt",DEE03,-0.02901291809282756,-0.04351894610920687,-0.01877394882365182,-0.00854908106447571,110,0.655,0.482,0.827,0.261,2
"DE: Freiburg im Breisgau, Stadtkreis",DE131,-0.028568679075179244,-0.04033414744595527,-0.017830844481782612,-0.008589840695685575,112,0.688,0.463,0.919,0.293,2
DE: Breisgau-Hochschwarzwald,DE132,-0.030336497914728065,-0.03972505641700243,-0.01936264064827611,-0.008316636631230553,109,0.651,0.344,0.809,0.181,1
DE: Bodenseekreis,DE147,-0.029853893659377226,-0.040498516455738896,-0.022892484547204592,-0.010076601189411923,109,0.706,0.403,0.651,0.185,1
DE: Mühldorf a. Inn,DE21G,-0.029781121188250912,-0.038250990388031654,-0.020671716898632196,-0.010150568151661874,112,0.705,1.0,0.252,0.178,1
"DE: München, Landkreis",DE21H,-0.029781121188250912,-0.038250990388031654,-0.020671716898632196,-0.010150568151661874,112,0.705,0.65,0.945,0.433,3
DE: Neuburg-Schrobenhausen,DE21I,-0.02711756911511635,-0.03685418558304608,-0.019937956043586648,-0.008331274350670369,110,0.655,1.0,0.611,0.4,2
DE: Pfaffenhofen a. d. Ilm,DE21J,-0.0297380027784655,-0.04003557003901822,-0.019188336556068726,-0.009739089308315555,108,0.657,1.0,0.772,0.507,3
DE: Meißen,DED2E,-0.029853893659377226,-0.040498516455738896,-0.022892484547204592,-0.010076601189411923,109,0.706,0.936,0.789,0.521,3
DE: Sächsische Schweiz-Osterzgebirge,DED2F,-0.0278857051593663,-0.037982982506531156,-0.017746921448716226,-0.007529555041836325,113,0.673,0.672,0.745,0.337,2
DE: Ennepe-Ruhr-Kreis,DEA56,-0.03310962488224867,-0.04476880837913406,-0.020443973220618798,-0.009820224127076145,106,0.726,0.466,0.999,0.338,2
"DE: Rosenheim, Landkreis",DE21K,-0.02564540193509132,-0.03221838866675238,-0.020165226960080555,-0.0075397488588502684,116,0.621,0.073,0.458,0.021,1
DE: Starnberg,DE21L,-0.026606488178105788,-0.034445278119909786,-0.019625727590953795,-0.00891564861865627,114,0.684,0.339,0.842,0.195,1
DE: Traunstein,DE21M,-0.03192909919495081,-0.04724427852910773,-0.021411647597529403,-0.01230240805308094,107,0.757,0.321,0.43,0.104,1
DE: Ravensburg,DE148,-0.034584842400916874,-0.04362228898060097,-0.021553918497162934,-0.009716391260244275,102,0.725,0.332,0.555,0.134,1
DE: Sigmaringen,DE149,-0.03328065300367998,-0.044793922393111946,-0.021313324612598748,-0.009287993243964267,110,0.718,0.844,0.698,0.423,3
"DE: Ingolstadt, Kreisfreie Stadt",DE211,-0.03238271298447673,-0.04453905523511595,-0.021260904904418974,-0.00996367084231798,109,0.706,1.0,0.531,0.375,2
DE: Kronach,DE24A,-0.032204055046764664,-0.042803517750778175,-0.019510835424927604,-0.007918842203200976,107,0.617,0.778,0.34,0.163,1
DE: Wunsiedel i. Fichtelgebirge,DE24D,-0.0322127610859431,-0.041700406001239664,-0.020768930440534194,-0.00881622753775171,106,0.642,0.51,0.455,0.149,1
"DE: Ansbach, Kreisfreie Stadt",DE251,-0.03101721212271216,-0.04069968029158142,-0.019962842217686485,-0.007140540003366142,109,0.661,1.0,0.65,0.43,3
DE: Rotenburg (Wümme),DE937,-0.03310591997520939,-0.04333782318451973,-0.019521649528805318,-0.010798568782024143,109,0.725,1.0,0.563,0.408,3
DE: Heidekreis,DE938,-0.03251798662574367,-0.046320976125041956,-0.022747885977294276,-0.010849731890349388,106,0.726,0.698,0.667,0.338,2
DE: Ammerland,DE946,-0.03234007895543222,-0.045629181932908484,-0.020455983112858456,-0.009864875335872951,108,0.722,0.568,0.532,0.218,2
DE: Bad Kissingen,DE265,-0.03391093164161659,-0.044217241088686694,-0.022456469332111116,-0.009842475761830964,104,0.683,0.763,0.365,0.19,1
"DE: Bayreuth, Landkreis",DE246,-0.03219795452447185,-0.04177814322713282,-0.018882067353861623,-0.010547856761301542,106,0.736,0.743,0.561,0.307,2
"DE: Coburg, Landkreis",DE247,-0.024178131802911937,-0.03395523840750396,-0.01754420285431419,-0.01051421093453846,118,0.703,1.0,0.311,0.219,2
DE: Forchheim,DE248,-0.022432150066044626,-0.03237559646634462,-0.017239030297045616,-0.009374058119741674,110,0.655,0.792,0.67,0.348,2
DE: Rhön-Grabfeld,DE266,-0.026097090099087106,-0.03820878097529309,-0.02036663994321338,-0.010106438494675444,110,0.709,0.928,0.381,0.251,2
DE: Haßberge,DE267,-0.026097090099087106,-0.03820878097529309,-0.02036663994321338,-0.010106438494675444,110,0.709,0.958,0.509,0.346,2
DE: Ortenaukreis,DE134,-0.026201609930841075,-0.03798487361757772,-0.018917676804880428,-0.01105211144601095,113,0.735,0.202,0.922,0.137,1
DE: Cham,DE235,-0.024635616615796156,-0.03273001049879222,-0.017699129293500725,-0.00946676712053443,116,0.681,0.341,0.347,0.081,1
DE: Stade,DE939,-0.02755957984118439,-0.036851589873016934,-0.020529409413107477,-0.010538146009747031,113,0.726,0.829,0.649,0.391,2
DE: Emmendingen,DE133,-0.023103172946757893,-0.032449400293543776,-0.01820358820011566,-0.00895258432673553,116,0.681,0.359,0.893,0.218,2
DE: Nordfriesland,DEF07,-0.02496517960078387,-0.03484336740120073,-0.019834162361505352,-0.010271429839424797,117,0.684,0.738,0.414,0.209,2
DE: Ilm-Kreis,DEG0F,-0.026052875108436842,-0.03527673023566637,-0.022259465239353002,-0.010552150569610149,110,0.727,0.677,0.569,0.28,2
DE: Odenwaldkreis,DE71B,-0.021547157860492973,-0.029828450303353123,-0.015327963177264441,-0.0077244552976036916,115,0.67,0.773,0.882,0.457,3
"DE: Offenbach, Landkreis",DE71C,-0.02399100297721491,-0.035928557546562045,-0.01832133176217949,-0.010561532150462166,115,0.704,0.792,0.983,0.548,3
DE: Weimarer Land,DEG0G,-0.030699668675397328,-0.04187785353274566,-0.019558468478109447,-0.010383536059481904,111,0.739,1.0,0.527,0.389,2
DE: Sonneberg,DEG0H,-0.02625834459185031,-0.03573446090733813,-0.021324115026004863,-0.010645357598950798,108,0.731,0.752,0.402,0.221,2
DE: Alzey-Worms,DEB3B,-0.0308529540318764,-0.038461823143834464,-0.022575574267610893,-0.009629832228107451,108,0.713,0.816,0.931,0.542,3
DE: Bad Dürkheim,DEB3C,-0.03010590407855935,-0.04042323634979113,-0.018713000349302275,-0.011221048533151463,106,0.745,0.236,0.925,0.163,1
DE: Donnersbergkreis,DEB3D,-0.03714588706671635,-0.04897937917577764,-0.026031627709859995,-0.012686966219343268,102,0.775,0.95,0.715,0.526,3
"DE: Halle (Saale), Kreisfreie Stadt",DEE02,-0.03218824073979327,-0.045158010467349324,-0.0233606846964494,-0.011356340494080571,103,0.738,0.719,0.707,0.375,2
DE: Ostholstein,DEF08,-0.030327376776868423,-0.043028262029296244,-0.020196015689495753,-0.011188160253628045,106,0.745,1.0,0.571,0.425,3
DE: Börde,DEE07,-0.031784595088599585,-0.04394914381076953,-0.02272729847921649,-0.009999602696570672,104,0.712,1.0,0.561,0.399,2
DE: Burgenlandkreis,DEE08,-0.032149722271255794,-0.04432112715227167,-0.022759941685037886,-0.011464257463088785,105,0.743,1.0,0.751,0.558,3
"DE: Hamm, Kreisfreie Stadt",DEA54,-0.03441345051946206,-0.04748219528757282,-0.023573927946662653,-0.01322366663169192,106,0.783,0.616,0.975,0.47,3
"DE: Herne, Kreisfreie Stadt",DEA55,-0.031186984114957215,-0.04291420648365542,-0.022494418983034354,-0.010760268826486985,108,0.731,0.414,0.964,0.292,2
"DE: Kassel, Kreisfreie Stadt",DE731,-0.029182287068012916,-0.03910941534127124,-0.020068623276063274,-0.00819724592819188,107,0.654,0.432,0.581,0.164,1
DE: Reutlingen,DE141,-0.029382407331447046,-0.03926391511794953,-0.02008400085905352,-0.009110938606692412,110,0.718,0.591,0.894,0.379,2
DE: Wittmund,DE94H,-0.03559151429323306,-0.050689631341903164,-0.024182794424231574,-0.012496206366726183,102,0.775,0.478,0.247,0.092,1
"DE: Düsseldorf, Kreisfreie Stadt",DEA11,-0.03221985873450485,-0.043744103564156055,-0.024630655600425128,-0.011103847738088164,103,0.728,0.718,1.0,0.523,3
DE: Rhein-Neckar-Kreis,DE128,-0.03413920288326742,-0.04976856318639378,-0.027226260412731247,-0.010554955722858876,103,0.718,0.521,0.981,0.367,2
"DE: Pforzheim, Stadtkreis",DE129,-0.031928614377872984,-0.04634279120190131,-0.024256418630028802,-0.013155132661075356,104,0.808,0.441,0.979,0.349,2
DE: Calw,DE12A,-0.03418712924247208,-0.050743031246385406,-0.025335674963332604,-0.014200114495377027,101,0.782,0.644,0.973,0.49,3
DE: Enzkreis,DE12B,-0.03184287651726977,-0.04249001679297255,-0.023258658584051472,-0.010791980446667892,100,0.72,0.581,0.981,0.41,3
"DE: Gießen, Landkreis",DE721,-0.035226686005885896,-0.04546740609016252,-0.025257706717593968,-0.013644668428437312,102,0.794,0.455,0.94,0.34,2
DE: Lahn-Dill-Kreis,DE722,-0.031323045556193085,-0.04301141087312958,-0.021788731295082273,-0.010358658533416457,109,0.706,0.227,0.98,0.157,1
DE: Limburg-Weilburg,DE723,-0.030905284017644252,-0.0387402396618572,-0.02282903397703216,-0.012740362762804033,109,0.771,0.389,0.978,0.293,2
DE: Marburg-Biedenkopf,DE724,-0.030905284017644252,-0.0387402396618572,-0.02282903397703216,-0.012740362762804033,109,0.771,0.515,0.842,0.334,2
DE: Böblingen,DE112,-0.030348510829322328,-0.036221163156376184,-0.020096478450741327,-0.013863676257982719,104,0.798,0.889,0.989,0.702,4
"DE: Duisburg, Kreisfreie Stadt",DEA12,-0.03233707119958035,-0.04464432590090257,-0.0211818014530547,-0.008346488488827996,113,0.699,0.459,0.997,0.32,2
"DE: Essen, Kreisfreie Stadt",DEA13,-0.03338716575512327,-0.0446571369798361,-0.024344299712779925,-0.008625258990764233,110,0.7,0.503,0.997,0.351,2
DE: Fulda,DE732,-0.034435854456350994,-0.04630657069457888,-0.023811662704534796,-0.010243338278345964,109,0.734,0.487,0.269,0.096,1
DE: Hersfeld-Rotenburg,DE733,-0.0303129890496301,-0.03817422354975186,-0.018945898464671276,-0.007512338042515182,115,0.652,0.523,0.279,0.095,1
DE: Wolfenbüttel,DE91B,-0.03268868715864497,-0.04546378144313572,-0.021712414381659634,-0.009274121744238927,111,0.703,1.0,0.812,0.571,3
"DE: Bayreuth, Kreisfreie Stadt",DE242,-0.03233707119958035,-0.04464432590090257,-0.0211818014530547,-0.008346488488827996,113,0.699,0.792,0.501,0.277,2
"DE: Coburg, Kreisfreie Stadt",DE243,-0.03219292558760816,-0.041785020619469974,-0.020935765421811997,-0.008984788103430121,113,0.69,1.0,0.311,0.215,2
"DE: Hof, Kreisfreie Stadt",DE244,-0.030573173982814127,-0.03863385239905975,-0.020898289490043857,-0.009614620074161657,115,0.687,1.0,0.371,0.255,2
