Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Dingolfing-Landau,DE22C,-0.09171804460289472,-0.12071070120710702,-0.061576020615760216,-0.03512817035128171,105,0.781,0.91,0.454,0.323,2
"DE: Amberg, Kreisfreie Stadt",DE231,-0.0808911416784873,-0.0960790182580066,-0.054474708171206226,-0.025890451960490862,115,0.713,0.898,0.459,0.294,2
"DE: Regensburg, Kreisfreie Stadt",DE232,-0.07654757514081074,-0.0868290942123021,-0.057876978977420196,-0.026797300804567867,114,0.737,1.0,0.459,0.338,2
"DE: Weiden i. d. Opf, Kreisfreie Stadt",DE233,-0.08511242634341333,-0.11382440639738522,-0.05055298581278999,-0.02706213892857655,109,0.734,0.913,0.457,0.306,2
DE: Amberg-Sulzbach,DE234,-0.08793623579944139,-0.11734242846810154,-0.05913927690499299,-0.02905521108301753,108,0.75,0.4,0.456,0.137,1
DE: Pinneberg,DEF09,-0.07858616468170002,-0.10026096769643111,-0.05332204824375793,-0.025144590210184798,112,0.723,0.455,0.562,0.185,1
DE: Rhein-Sieg-Kreis,DEA2C,-0.10054118111527993,-0.1536320822035108,-0.07021549878692737,-0.03104038818324533,107,0.794,0.189,0.707,0.106,1
DE: Städteregion Aachen,DEA2D,-0.07696601641235765,-0.09010217623042954,-0.05302794073923671,-0.028825444709533802,109,0.761,0.944,0.713,0.512,3
"DE: Bottrop, Kreisfreie Stadt",DEA31,-0.08712411929028381,-0.11451490651844365,-0.05842597271349166,-0.02716018191005559,106,0.745,0.63,0.696,0.327,2
"DE: Gelsenkirchen, Kreisfreie Stadt",DEA32,-0.08709239101533094,-0.12247504127289509,-0.053924174867081766,-0.025620393359938643,110,0.718,0.696,0.697,0.348,2
"DE: Münster, Kreisfreie Stadt",DEA33,-0.091707449074642,-0.12749130251157192,-0.05372420592601591,-0.032164110271299486,104,0.769,0.882,0.697,0.473,3
"DE: Frankenthal (Pfalz), Kreisfreie Stadt",DEB31,-0.08801261194227225,-0.11104604222505382,-0.05789605211125269,-0.0314422316446241,103,0.786,0.731,0.77,0.442,3
"DE: Kaiserslautern, Kreisfreie Stadt",DEB32,-0.08833629439368015,-0.11012600576893886,-0.07712160315773495,-0.032867769849703965,111,0.829,0.176,0.869,0.127,1
DE: Bernkastel-Wittlich,DEB22,-0.08094006244667742,-0.10277040477770408,-0.06262441937624422,-0.031643994691439956,112,0.795,0.444,0.865,0.305,2
DE: Eifelkreis Bitburg-Prüm,DEB23,-0.0911313131313131,-0.11547619047619045,-0.07396825396825397,-0.03531746031746032,110,0.818,0.486,0.634,0.252,2
DE: Saalekreis,DEE0B,-0.0885946044739175,-0.1085366801367734,-0.07522536524712466,-0.034271059993783035,108,0.787,1.0,0.93,0.732,4
"DE: Landau in der Pfalz, Kreisfreie Stadt",DEB33,-0.0885946044739175,-0.1085366801367734,-0.07522536524712466,-0.034271059993783035,108,0.787,0.118,0.868,0.081,1
"DE: Ludwigshafen am Rhein, Kreisfreie Stadt",DEB34,-0.08218981775799959,-0.10777744982290438,-0.06669052538370722,-0.03456537780401417,117,0.786,0.424,0.688,0.229,2
"DE: Mainz, Kreisfreie Stadt",DEB35,-0.07695934615742336,-0.09391830250408958,-0.05987794136152007,-0.029172565118912794,115,0.774,0.477,0.569,0.21,2
"DE: Neustadt an der Weinstraße, Kreisfreie Stadt",DEB36,-0.0911313131313131,-0.11547619047619045,-0.07396825396825397,-0.03531746031746032,110,0.818,0.096,0.868,0.068,1
"DE: Pirmasens, Kreisfreie Stadt",DEB37,-0.0758059504868591,-0.10306716182175443,-0.057895620193474,-0.025862252193421233,117,0.744,0.407,0.868,0.263,2
DE: Rheingau-Taunus-Kreis,DE71D,-0.08077038597580458,-0.10717691566695556,-0.06202997081141373,-0.03202938333779975,117,0.778,0.212,0.494,0.081,1
DE: Hohenlohekreis,DE119,-0.08331940197627535,-0.1033259129367774,-0.0676831366306425,-0.03690300007876398,113,0.832,0.811,0.536,0.362,2
"DE: Bamberg, Landkreis",DE245,-0.08274908274908278,-0.10839714521424737,-0.07023538614987548,-0.04145537755989062,111,0.847,0.765,0.456,0.295,2
DE: Görlitz,DED2D,-0.09141435990520852,-0.11508596783139215,-0.0658624514697726,-0.03001941209095952,110,0.782,0.666,0.989,0.515,3
DE: Coesfeld,DEA35,-0.08373989162885821,-0.11617574461082768,-0.06146124732598321,-0.03192364653611979,112,0.795,0.765,0.694,0.422,3
DE: Recklinghausen,DEA36,-0.08730158860764882,-0.12856684834882975,-0.06120551458800898,-0.0288554023725553,113,0.761,0.353,0.697,0.187,1
